OBJECTID,TypeCode,LandUseTyp,Street,Price,ARPrice,ORPrice
1,CCDT,Gia Huy Computer Specialty Supermarket, ,0,0,0
2,CCDT,"Police Tan Thuan Tay Ward, District 7", ,0,0,0
3,GD,Binh Minh Kindergarten, ,0,0,0
4,NNO,Existing Residential,Lam Van Ben,246.46,0,0
5,NNO,Existing Residential, ,0,0,0
6,NNO,Existing Residential,Tran Xuan Soan,149.05,0,0
7,NNO,Existing Residential, ,0,0,0
8,HH,Apartment SARIMI - Tower A2,Nguyen Co Thach,80.5,16,0
9,NNO,Existing Residential,Tran Xuan Soan,149.05,0,0
10,CQCT,Limited Liability Company Digital Media Guy, ,0,0,0
11,NNO,Existing Residential, ,0,0,0
12,CQCT,Animal Quarantine Station Port - Post Offices, ,0,0,0
13,CQCT,Company Limited Trading Services Cosmetic Snow, ,0,0,0
14,CQCT,Green Machine Warehouse District 7, ,0,0,0
15,GD,Tran Quoc Tuan Secondary School, ,0,0,0
16,CQCT,Company Limited Technology Sensor, ,0,0,0
17,CQCT,Trading Joint Stock Company Material Vietnam, ,0,0,0
18,CQCT,Phan Anh Luxury Living, ,0,0,0
19,CQCT,Global Business, ,0,0,0
20,CQCT,Company Limited Gloryhome Furnishing, ,0,0,0
21,CCDT,Co.op Food, ,0,0,0
22,CQCT,Agribank, ,0,0,0
23,CCDT,Tan Hung General Hospital, ,0,0,0
24,NNO,Existing Residential, ,0,0,0
25,NNO,Existing Residential, ,0,0,0
26,CQCT,Customs & Import-Export Company Marine Vietnam Item (Vietseaco), ,0,0,0
27,NNO,Existing Residential, ,0,0,0
28,CQCT,Company Limited Production Trading Construction Phuong Nguyen, ,0,0,0
29,CQCT,Company Limited Trading Import Export Tuan Chau, ,0,0,0
30,CQCT,Company Limited K.A.S, ,0,0,0
31,CQCT,Company Limited A Member Import Export Mai Hoang Quan, ,0,0,0
32,CQCT,Company Limited Vietnam Mtv Calendar Controversy, ,0,0,0
33,NNO,Existing Residential, ,0,0,0
34,HH,Yellow Zone Anh_Khoi Apartment B,Tran Xuan Soan,25.7,9,0
35,HH,Apartment Yellow Zone Anh_Khoi A,Tran Xuan Soan,25.7,9,0
36,GD,Le Quy Don Primary school, ,0,0,0
