work_school_address,emp_naics_11,emp_naics_21,emp_naics_23,emp_naics_48-49,emp_naics_52,emp_naics_61,emp_naics_62,emp_naics_72,emp_naics_81,emp_naics_92,emp_total
25741.0,1500.0,3500.0,1800.0,1000.0,600.0,1600.0,800.0,1800.0,8500.0,1500.0,22600.0
25744.0,1400.0,6000.0,1700.0,2100.0,900.0,1200.0,200.0,3700.0,10100.0,2300.0,29600.0
25759.0,600.0,1000.0,800.0,500.0,200.0,700.0,300.0,0.0,2700.0,200.0,7000.0
25765.0,1300.0,2900.0,1200.0,900.0,600.0,700.0,300.0,800.0,10100.0,900.0,19700.0
25942.0,1300.0,33100.0,3700.0,4600.0,1600.0,2300.0,1600.0,6200.0,31200.0,3300.0,88900.0
25951.0,0.0,3900.0,1200.0,1000.0,200.0,300.0,600.0,2400.0,8000.0,300.0,17900.0
25963.0,2000.0,10200.0,2700.0,1400.0,500.0,1500.0,900.0,1100.0,22700.0,400.0,43400.0
25969.0,1500.0,35400.0,2700.0,1500.0,1400.0,300.0,500.0,4200.0,34000.0,1100.0,82600.0
25993.0,2400.0,5200.0,1900.0,2000.0,300.0,1700.0,300.0,1100.0,22100.0,800.0,37800.0
25996.0,200.0,2500.0,300.0,100.0,1200.0,300.0,900.0,2300.0,6700.0,1800.0,16300.0
25999.0,2000.0,3900.0,1200.0,1400.0,600.0,600.0,600.0,1700.0,14700.0,100.0,26800.0
26011.0,300.0,3200.0,400.0,1000.0,300.0,900.0,200.0,1000.0,10600.0,700.0,18600.0
26017.0,1100.0,2500.0,1300.0,1100.0,700.0,1000.0,400.0,2000.0,7400.0,200.0,17700.0
26020.0,600.0,19500.0,1600.0,1300.0,200.0,300.0,600.0,2000.0,12500.0,400.0,39000.0
26029.0,200.0,3600.0,1900.0,600.0,900.0,1700.0,1000.0,2500.0,4900.0,500.0,17800.0
26032.0,200.0,4000.0,900.0,500.0,1600.0,1100.0,900.0,1500.0,3700.0,1500.0,15900.0
26035.0,600.0,2700.0,500.0,500.0,300.0,300.0,800.0,1100.0,4500.0,300.0,11600.0
26050.0,500.0,20000.0,1800.0,1100.0,500.0,600.0,1000.0,5700.0,11900.0,500.0,43600.0
26053.0,400.0,9400.0,600.0,1600.0,0.0,400.0,200.0,800.0,11000.0,200.0,24600.0
26470.0,1900.0,13800.0,2000.0,900.0,800.0,900.0,900.0,2800.0,8700.0,1200.0,33900.0
26476.0,700.0,1900.0,1700.0,400.0,500.0,1000.0,400.0,3400.0,2700.0,600.0,13300.0
26497.0,2700.0,4100.0,1000.0,400.0,200.0,600.0,900.0,800.0,4100.0,700.0,15500.0
26734.0,500.0,1000.0,1200.0,1200.0,1600.0,1200.0,900.0,1900.0,5500.0,500.0,15500.0
26737.0,200.0,2300.0,1600.0,2000.0,3500.0,1000.0,1500.0,5600.0,6500.0,1100.0,25300.0
26740.0,300.0,4000.0,3400.0,8500.0,7500.0,1300.0,4000.0,12100.0,21900.0,2800.0,65800.0
26743.0,800.0,1300.0,600.0,2100.0,2800.0,1000.0,1000.0,4800.0,11200.0,2200.0,27800.0
26746.0,200.0,400.0,800.0,1000.0,3000.0,300.0,0.0,1000.0,4400.0,400.0,11500.0
26749.0,100.0,1100.0,1200.0,1400.0,2100.0,500.0,1100.0,3500.0,7100.0,500.0,18600.0
26752.0,100.0,900.0,400.0,600.0,800.0,800.0,400.0,1200.0,5300.0,1200.0,11700.0
26758.0,200.0,800.0,400.0,900.0,500.0,700.0,700.0,2600.0,5600.0,3100.0,15500.0
26761.0,100.0,900.0,300.0,400.0,100.0,300.0,100.0,600.0,2500.0,400.0,5700.0
26764.0,600.0,2600.0,700.0,1700.0,0.0,1900.0,400.0,900.0,3100.0,100.0,12000.0
26770.0,600.0,10300.0,3300.0,1700.0,700.0,1300.0,600.0,2600.0,23500.0,900.0,45500.0
26776.0,900.0,4000.0,1300.0,1000.0,100.0,1200.0,300.0,800.0,7000.0,400.0,17000.0
26779.0,400.0,800.0,1000.0,1600.0,100.0,100.0,100.0,400.0,4500.0,0.0,9000.0
26782.0,300.0,2500.0,1200.0,900.0,400.0,900.0,0.0,800.0,7000.0,100.0,14100.0
26785.0,200.0,3500.0,1000.0,800.0,300.0,800.0,100.0,1100.0,6200.0,500.0,14500.0
26787.0,300.0,4100.0,1300.0,700.0,500.0,900.0,400.0,1600.0,8200.0,300.0,18300.0
26794.0,200.0,4100.0,600.0,1000.0,300.0,500.0,300.0,1500.0,3600.0,100.0,12200.0
26797.0,3800.0,4200.0,600.0,2100.0,300.0,600.0,400.0,1100.0,12600.0,100.0,25800.0
26800.0,800.0,21200.0,1600.0,2400.0,600.0,1900.0,1300.0,600.0,12200.0,400.0,43000.0
26806.0,100.0,900.0,100.0,100.0,100.0,200.0,400.0,200.0,3100.0,500.0,5700.0
26809.0,300.0,4700.0,600.0,200.0,300.0,600.0,400.0,0.0,2400.0,0.0,9500.0
26812.0,500.0,1000.0,1000.0,500.0,300.0,200.0,1000.0,2000.0,5600.0,400.0,12500.0
26815.0,800.0,2500.0,1000.0,1100.0,1000.0,2100.0,600.0,1700.0,10200.0,1400.0,22400.0
26821.0,1000.0,1300.0,1000.0,500.0,100.0,100.0,900.0,200.0,6500.0,800.0,12400.0
26827.0,0.0,1500.0,1100.0,1200.0,300.0,400.0,0.0,900.0,3000.0,300.0,8700.0
26830.0,0.0,300.0,300.0,300.0,100.0,200.0,0.0,300.0,3200.0,100.0,4800.0
26833.0,100.0,500.0,500.0,300.0,0.0,300.0,0.0,100.0,3300.0,0.0,5100.0
26836.0,300.0,5000.0,300.0,300.0,100.0,300.0,100.0,700.0,4500.0,100.0,11700.0
26839.0,100.0,2000.0,1200.0,600.0,800.0,200.0,400.0,400.0,2900.0,700.0,9300.0
26842.0,500.0,3300.0,900.0,1000.0,700.0,900.0,300.0,500.0,3700.0,300.0,12100.0
26851.0,1100.0,5400.0,1800.0,1900.0,600.0,900.0,200.0,1200.0,7500.0,300.0,20900.0
